campus_name,campus_location.x,rating,students,community_type,campus_location.y,public,private,doctoral,masters,baccalaureate,community,residential,nonresidential,liberal_arts,technical,religious,military,hbcu,hispanic_serving,aapi_serving,other_minority_serving
Western Colorado University,"Gunnison, CO",3,3040,very small town,"Gunnison, CO",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,"Boston, MA",4.5,5000,large urban city,"Boston, MA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
Sacred Heart University,"Fairfield, CT",4,10216,small city,"Fairfield, CT",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Henry Ford Community College,"Dearborn, MI",2.5,13000,small city,"Dearborn, MI",NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA
Xavier University,"Cincinnati, OH",3,6738,medium city,"Cincinnati, OH",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Haverford College,"Haverford, PA",3,1400,small city,"Haverford, PA",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
The College of Idaho,"Caldwell, ID",2.5,987,very small town,"Caldwell, ID",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Central Arkansas,"Conway, AR",2,12000,small city,"Conway, AR",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camden County College,"Blackwood, NJ",2.5,6425,rural community,"Blackwood, NJ",NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Western Kentucky University,"Bowling Green, KY",4.5,13228,small city,"Bowling Green, KY",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Pittsburgh-Main Campus,"Pittsburgh, PA",5,25069,medium city,"Pittsburgh, PA",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binghamton University SUNY,"Binghamton, NY",4.5,18000,small city,"Binghamton, NY",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton University,"Galloway, NJ",4.5,9080,small city,"Galloway, NJ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
Kutztown University,"Kutztown, PA",4,8000,very small town,"Kutztown, PA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
East Carolina University,"Greenville, NC",4.5,29131,small city,"Greenville, NC",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern New Hampshire University,"Manchester, NH",3.5,3400,medium city,"Manchester, NH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuyahoga Community College Metro Campus,"Cleveland, OH",3,3094,medium city,"Cleveland, OH",NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Cuyahoga Community College Western Campus,"Parma, OH",3,7000,small city,"Parma, OH",NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Cuyahoga Community College Eastern Campus,"Highland Hills, OH",3,3394,small town,"Highland Hills, OH",NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Cuyahoga Community College Westshore Campus,"Westlake, OH",3,2183,small city,"Westlake, OH",NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Ferris State University,"Big Rapids, MI",3.5,10222,small town,"Big Rapids, MI",TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Toledo,"Toledo, OH",4,23000,medium city,"Toledo, OH",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates College,"Lewiston, ME",3.5,1800,small city,"Lewiston, ME",NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Missouri Science & Technology,"Rolla, MO",3,9000,small town,"Rolla, MO",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA
Forsyth Technical Community College,"Winston-Salem, NC",4,2890,medium city,"Winston-Salem, NC",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodbury University,"Burbank, CA",3,1132,medium city,"Burbank, CA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA
University of Texas Arlington,"Arlington, TX",5,47000,medium city,"Arlington, TX",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA
University of Arkansas at Little Rock,"Little Rock, AR",2.5,6712,medium city,"Little Rock, AR",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
Linfield University,"McMinnville, OR",3,1750,small city,"McMinnville, OR",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Bluegrass Community & Technical College (BCTC),"Lexington, KY",4,14500,medium city,"Lexington, KY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartwick College,"Oneonta, NY",3.5,1100,small town,"Oneonta, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
