campus_name,campus_location.x,rating,students,community_type,campus_location.y,public,private,doctoral,masters,baccalaureate,community,residential,nonresidential,liberal_arts,technical,religious,military,hbcu,hispanic_serving,aapi_serving,other_minority_serving
University of Wisconsin - Green Bay,"Green Bay, WI",5,9780,medium city,"Green Bay, WI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Georgia College & State University,"Milledgeville, GA",3,6800,small town,"Milledgeville, GA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Pittsburgh at Bradford,"Bradford, PA",3.5,1500,rural community,"Bradford, PA",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Kansas,"Lawrence, KS",4.5,28000,small city,"Lawrence, KS",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baldwin Wallace University,"Berea, OH",4,3500,small town,"Berea, OH",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Institute of Technology,"Rochester, NY",4,18897,medium city,"Rochester, NY",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
University of Maine at Machias,"Machias, ME",4.5,800,rural community,"Machias, ME",TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Whitewater,"Whitewater, WI",4,12000,small town,"Whitewater, WI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco State University,"San Francisco, CA",3.5,29905,large urban city,"San Francisco, CA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
Swarthmore College,"Swarrthmore, PA",4,1699,large urban city,"Swarrthmore, PA",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Texas at Dallas,"Richardson, TX",5,27642,medium city,"Richardson, TX",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Rocks Community College,"Lakewood, CO",3.5,4297,medium city,"Lakewood, CO",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colgate University,"Hamilton, NY",4.5,3228,rural community,"Hamilton, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Bard College at Simon's Rock,"Great Barrington, MA",4.5,400,very small town,"Great Barrington, MA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Kent State University,"Kent, OH",5,28000,small city,"Kent, OH",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue University,"West Lafayette, IN",5,49000,small city,"West Lafayette, IN",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenyon College,"Gambier, OH",4,1730,rural community,"Gambier, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Widener University,"Chester, PA",4,6300,small city,"Chester, PA",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Wooster,"Wooster, OH",4,2000,small city,"Wooster, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Milwaukee,"Milwaukee, WI, WI",4.5,23829,large urban city,"Milwaukee, WI, WI",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Maine at Farmington,"Farmington, ME",4.5,1800,very small town,"Farmington, ME",TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"St. John's College, Annapolis","Annapolis, MD",3.5,450,small city,"Annapolis, MD",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Drexel University,"Philadelphia, PA",3.5,14000,large urban city,"Philadelphia, PA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Methodist University,"DALLAS, TX",4.5,12373,large urban city,"DALLAS, TX",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Earlham College,"Richmond, IN",4.5,1200,small city,"Richmond, IN",NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Southern Illinois University Carbondale,"Carbondale, IL",5,14000,small city,"Carbondale, IL",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Louisville,"Louisville, KY",5,22000,large urban city,"Louisville, KY",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita State University,"Wichita, KS",4,15000,large urban city,"Wichita, KS",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUNY ROCKLAND COMMUNITY COLLEGE,"SUFFERN, NY",3,7500,small town,"SUFFERN, NY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi University,"Garden City, NY",5,7859,small town,"Garden City, NY",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hobart and William Smith Colleges,"Geneva, NY",4.5,2396,rural community,"Geneva, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Illinois Chicago,"Chicago, IL",5,30539,large urban city,"Chicago, IL",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA
Metropolitan State University of Denver,"Denver, CO",4.5,21000,large urban city,"Denver, CO",TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
Montserrat College of Art,"Beverly, MA",4,370,small city,"Beverly, MA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Harvard College,"Cambridge, MA",4.5,6500,medium city,"Cambridge, MA",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Cleveland State University,"Cleveland, OH",4,16000,medium city,"Cleveland, OH",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Mount Union,"Alliance, OH",3,2100,small town,"Alliance, OH",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
University of Virginia,"Charlottesville, VA",4.5,22000,small town,"Charlottesville, VA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga University,"Spokane, WA",4.5,7450,medium city,"Spokane, WA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
James Madison University,"Harrisonburg, VA",4,22000,small city,"Harrisonburg, VA",TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of the Arts,"Philadelphia, PA",3,1900,large urban city,"Philadelphia, PA",NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens Institute of Technology,"Hoboken, NJ",4,6825,small city,"Hoboken, NJ",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Towson University,"Towson, MD",5,16517,large urban city,"Towson, MD",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida International University,"Miami, FL",4.5,34000,large urban city,"Miami, FL",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Antioch College,"Yellow Springs, OH",4.5,125,rural community,"Yellow Springs, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Millersville University of Pennsylvania,"Millersville, PA",3.5,7500,small city,"Millersville, PA",TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mars Hill University,"Mars Hill, NC",3,1000,rural community,"Mars Hill, NC",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Kean University,"Union, NJ",3,11610,small city,"Union, NJ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
The University of Findlay,"Findlay, OH",3.5,3500,small city,"Findlay, OH",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Fort Lewis College,"Durango, CO",4,3443,small town,"Durango, CO",TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE
Southwestern University,"Georgetown, TX",3.5,1500,small city,"Georgetown, TX",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA
Lebanon Valley College,"Annville, PA",4,1651,rural community,"Annville, PA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
University of New Hampshire-Main Campus,"Durham, NH",4.5,13000,small town,"Durham, NH",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mohawk Valley Community College,"Utica, NY",2,5000,small city,"Utica, NY",TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant University,"Smithfield, RI",2,3287,small town,"Smithfield, RI",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emerson College,"Boston, MA",4,3783,large urban city,"Boston, MA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Manhattan School of Music,"New York, NY",3,1035,large urban city,"New York, NY",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mennonite University,"Harrisonburg, VA",3,1000,small city,"Harrisonburg, VA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Tidewater Community College,"Norfolk, VA",1.5,7028,large urban city,"Norfolk, VA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Art Academy of Cincinnati,"Cincinnati, OH",2.5,260,medium city,"Cincinnati, OH",NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joliet Junior College,"Joliet, IL",2.5,10000,small city,"Joliet, IL",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Mary Washington,"Fredericksburg, VA",4,4000,small city,"Fredericksburg, VA",TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Gwynedd Mercy University,"Gwynedd Valley, PA",3,1724,small town,"Gwynedd Valley, PA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Colorado College,"Colorado Springs, CO",2.5,2300,large urban city,"Colorado Springs, CO",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Puget Sound,"Tacoma, WA",4,2200,medium city,"Tacoma, WA",NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Virginia Wesleyan University,"Virginia Beach, VA",5,1750,large urban city,"Virginia Beach, VA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE
Fitchburg State University,"FITCHBURG, MA",4.5,3500,small city,"FITCHBURG, MA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
Juniata College,"Huntingdon, PA",3,1600,very small town,"Huntingdon, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
University of Michigan-Ann Arbor,"Ann Arbor, MI",5,46000,medium city,"Ann Arbor, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Worcester State University,"Worcester, MA",4.5,4039,medium city,"Worcester, MA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regis College,"Weston, MA",3.5,3014,rural community,"Weston, MA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
West Chester University of Pennsylvania,"West Chester, PA",4,17552,small town,"West Chester, PA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
William Paterson University of New Jersey,"Wayne, NJ",4.5,8000,small city,"Wayne, NJ",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Gallaudet University,"Washington, DC",3.5,1454,large urban city,"Washington, DC",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE
Whitman College,"Walla Walla, WA",3,1493,small city,"Walla Walla, WA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin-Stevens Point,"Stevens Point, WI",4.5,8900,small city,"Stevens Point, WI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
Georgia Southern University,"Statesboro, GA",3.5,21000,small town,"Statesboro, GA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Susquehanna University,"Selinsgrove, PA",3,2300,very small town,"Selinsgrove, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Dominican University of California,"San Rafael, CA",3,1531,small city,"San Rafael, CA",NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Texas State University,"San Marcos, TX",3.5,38000,small city,"San Marcos, TX",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Skyline College,"San Bruno, CA",3,5599,small city,"San Bruno, CA",TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA
Salt Lake Community College,"Salt Lake City, UT",4,16158,large urban city,"Salt Lake City, UT",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catawba College,"Salisbury, NC",2,1200,rural community,"Salisbury, NC",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Nazareth College,"Rochester, NY",4,3000,small town,"Rochester, NY",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Rhode Island College,"Providence, RI",2.5,5776,medium city,"Providence, RI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE
Big Sandy Community and Technical College,"Prestonsburg, KY",2.5,1193,rural community,"Prestonsburg, KY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
Dutchess Community College,"Poughkeepsie, NY",3.5,6500,medium city,"Poughkeepsie, NY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State Polytechnic University-Pomona,"Pomona, CA",3.5,23717,medium city,"Pomona, CA",TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Diablo Valley College,"Pleasant Hill, CA",1.5,7854,small city,"Pleasant Hill, CA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Point Park University,"Pittsburgh, PA",3,4000,medium city,"Pittsburgh, PA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
Bergen Community College,"Paramus, NJ",4.5,14585,large urban city,"Paramus, NJ",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami University-Oxford,"Oxford, OH",4.5,24000,small town,"Oxford, OH",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butte College,"Oroville, CA",3.5,4816,small town,"Oroville, CA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Wheaton College,"Norton, MA",4.5,1700,small town,"Norton, MA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Oklahoma-Norman Campus,"Norman, OK",4,25829,medium city,"Norman, OK",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Norco College,"Norco, CA",3,10000,small town,"Norco, CA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Institute of Art & Design,"Milwaukee, WI",4,900,large urban city,"Milwaukee, WI",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allegheny College,"Meadville, PA",4.5,1800,small town,"Meadville, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Ramapo College of New Jersey,"Mahwah, NJ",4,5041,small city,"Mahwah, NJ",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA
Drew University,"Madison, NJ",4.5,2100,small town,"Madison, NJ",NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Dakota State University,"Madison, SD",2,3100,very small town,"Madison, SD",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randolph College,"Lynchburg, VA",3,650,rural community,"Lynchburg, VA",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Otis College of Art and Design,"Los Angeles, CA",4,1100,large urban city,"Los Angeles, CA",NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
Dickinson College,"Carlisle, PA",4.5,2400,small town,"Carlisle, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Northern Colorado,"Greeley, CO",5,11114,medium city,"Greeley, CO",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of North Carolina at Charlotte,"Charlotte, NC",3.5,22968,large urban city,"Charlotte, NC",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska at Kearney,"Kearney, NE",5,6232,small city,"Kearney, NE",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University-Bakersfield,"Bakersfield, CA",3.5,7000,medium city,"Bakersfield, CA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
Suffolk University,"Boston, MA",3.5,7288,large urban city,"Boston, MA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Wayne State University,"Detroit, MI",4.5,26251,large urban city,"Detroit, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
